Date	Type
16.10.-1643T23:39:54	T
12.4.-1642T12:28:33	T
5.10.-1642T23:47:30	T
20.2.-1640T21:15:30	P
15.8.-1640T10:48:1	P
8.2.-1639T21:8:10	T
5.8.-1639T2:57:27	T
28.1.-1638T23:43:50	P
25.7.-1638T14:55:15	P
9.12.-1637T14:1:8	P
3.6.-1636T5:53:38	P
28.11.-1636T4:5:58	T
23.5.-1635T12:41:18	T
17.11.-1635T12:16:33	P
13.5.-1634T2:25:16	P
3.4.-1633T12:34:0	P
23.3.-1632T2:2:37	T
15.9.-1632T4:33:38	T
12.3.-1631T8:28:31	P
4.9.-1631T19:18:21	T
19.1.-1629T20:39:54	P
16.7.-1629T12:24:8	P
9.1.-1628T8:5:14	T
4.7.-1628T15:35:10	T
28.12.-1628T23:35:40	P
23.6.-1627T16:6:5	P
8.11.-1626T7:47:43	P
4.5.-1625T2:38:48	T
28.10.-1625T7:36:18	T
22.4.-1624T19:54:17	T
16.10.-1624T7:51:51	T
3.3.-1622T4:18:33	P
26.8.-1622T18:57:15	P
20.2.-1621T4:18:27	T
16.8.-1621T10:49:0	T
9.2.-1620T7:24:41	P
4.8.-1620T22:15:48	P
19.12.-1619T22:48:31	P
14.6.-1618T12:25:23	P
9.12.-1618T12:44:28	T
3.6.-1617T19:39:11	T
28.11.-1617T20:34:34	P
23.5.-1616T9:42:31	P
3.4.-1614T9:13:48	T
26.9.-1614T12:55:27	T
23.3.-1613T15:19:42	P
16.9.-1613T3:42:35	T
30.1.-1611T4:35:35	P
26.7.-1611T19:29:34	P
19.1.-1610T16:30:35	T
15.7.-1610T22:11:14	T
9.1.-1609T8:14:15	P
4.7.-1609T22:40:59	P
18.11.-1608T15:59:5	P
14.5.-1607T10:0:50	P
7.11.-1607T15:34:49	T
4.5.-1606T3:17:23	T
27.10.-1606T16:2:1	T
23.4.-1605T17:46:41	P
6.9.-1604T3:15:18	P
2.3.-1603T11:17:33	T
26.8.-1603T18:49:14	T
19.2.-1602T14:57:23	P
16.8.-1602T5:42:53	P
31.12.-1601T7:31:53	P
24.6.-1600T19:0:47	P
19.12.-1600T21:19:42	T
14.6.-1599T2:41:15	T
9.12.-1599T4:49:23	P
3.6.-1598T17:3:20	P
13.4.-1596T16:18:14	T
6.10.-1596T21:24:52	T
2.4.-1595T22:1:42	T
26.9.-1595T12:15:20	T
10.2.-1593T12:23:39	P
7.8.-1593T2:41:53	P
31.1.-1592T0:47:15	T
26.7.-1592T4:54:9	T
19.1.-1591T16:44:55	P
15.7.-1591T5:24:2	P
30.11.-1590T0:10:23	P
25.5.-1589T17:21:52	P
18.11.-1589T23:36:43	T
14.5.-1588T10:37:1	T
7.11.-1588T0:17:20	T
4.5.-1587T0:48:42	P
17.9.-1586T11:40:2	P
13.3.-1585T18:11:0	T
7.9.-1585T2:56:13	T
1.3.-1584T22:22:28	T
26.8.-1584T13:17:34	T
10.1.-1582T16:7:11	P
6.7.-1582T1:45:30	P
31.12.-1582T5:48:22	T
25.6.-1581T9:48:25	T
20.12.-1581T12:59:37	P
14.6.-1580T0:26:5	P
24.4.-1578T23:15:47	T
18.10.-1578T6:1:3	T
14.4.-1577T4:36:26	T
7.10.-1577T20:55:0	T
20.2.-1575T20:4:45	P
10.2.-1574T8:57:26	T
6.8.-1574T11:45:42	T
31.1.-1573T1:9:5	T
26.7.-1573T12:15:10	T
10.12.-1572T8:16:54	P
5.6.-1571T0:45:31	P
29.11.-1571T7:37:33	T
25.5.-1570T17:56:21	T
18.11.-1570T8:34:21	T
15.5.-1569T7:46:57	P
27.9.-1568T20:13:36	P
24.3.-1567T0:55:18	T
17.9.-1567T11:11:15	T
13.3.-1566T5:40:48	T
6.9.-1566T21:0:26	T
22.1.-1564T0:36:47	P
10.1.-1563T14:9:53	T
5.7.-1563T17:3:1	T
30.12.-1563T21:3:50	P
25.6.-1562T7:53:42	P
5.5.-1560T6:7:29	P
28.10.-1560T14:42:27	T
24.4.-1559T11:5:2	T
18.10.-1559T5:39:56	T
21.2.-1556T16:59:1	T
16.8.-1556T18:46:42	T
10.2.-1555T9:23:13	T
5.8.-1555T19:17:23	T
21.12.-1554T16:20:4	P
16.6.-1553T8:10:54	P
10.12.-1553T15:37:41	T
5.6.-1552T1:14:16	T
28.11.-1552T16:53:31	T
25.5.-1551T14:43:20	P
9.10.-1550T4:53:4	P
4.4.-1549T7:35:4	P
28.9.-1549T19:32:38	T
23.3.-1548T12:53:35	T
17.9.-1548T4:50:57	T
1.2.-1546T8:57:23	P
21.1.-1545T22:22:29	T
17.7.-1545T0:25:7	T
11.1.-1544T4:59:8	P
5.7.-1544T15:25:43	T
16.5.-1542T12:55:45	P
8.11.-1542T23:28:34	T
5.5.-1541T17:28:5	T
29.10.-1541T14:30:16	T
23.4.-1540T18:4:21	P
4.3.-1538T0:54:55	T
28.8.-1538T1:55:56	T
21.2.-1537T17:30:36	T
17.8.-1537T2:29:32	T
1.1.-1535T0:15:14	P
26.6.-1535T15:41:38	P
20.12.-1535T23:32:21	T
16.6.-1534T8:35:13	T
10.12.-1534T1:11:25	T
5.6.-1533T21:37:35	P
19.10.-1532T13:39:15	P
14.4.-1531T14:8:31	P
9.10.-1531T4:1:25	T
3.4.-1530T20:1:21	T
28.9.-1530T12:47:59	T
24.3.-1529T8:51:59	P
12.2.-1528T17:9:24	P
1.2.-1527T6:26:14	T
27.7.-1527T7:55:57	T
21.1.-1526T12:45:57	P
16.7.-1526T23:4:56	T
26.5.-1524T19:41:44	P
19.11.-1524T8:15:38	T
15.5.-1523T23:48:50	T
8.11.-1523T23:23:18	T
5.5.-1522T0:27:10	P
14.3.-1520T8:41:24	T
7.9.-1520T9:16:4	T
4.3.-1519T1:28:24	T
27.8.-1519T9:53:2	T
16.8.-1518T17:1:46	P
7.7.-1517T23:15:38	P
1.1.-1516T7:24:5	T
26.6.-1516T15:57:57	T
20.12.-1516T9:26:54	T
16.6.-1515T4:33:31	P
30.10.-1514T22:28:20	P
25.4.-1513T20:40:13	P
20.10.-1513T12:34:23	T
14.4.-1512T3:4:38	T
8.10.-1512T20:51:39	T
3.4.-1511T16:24:1	P
23.2.-1510T1:12:3	P
12.2.-1509T14:19:27	T
7.8.-1509T15:35:44	T
1.2.-1508T20:22:22	P
27.7.-1508T6:51:14	T
7.6.-1506T2:26:22	P
30.11.-1506T17:4:2	T
27.5.-1505T6:7:39	T
20.11.-1505T8:18:21	T
15.5.-1504T6:48:18	P
25.3.-1502T16:23:45	T
18.9.-1502T16:45:4	P
15.3.-1501T9:18:51	T
7.9.-1501T17:26:56	T
27.8.-1500T0:53:41	P
18.7.-1499T6:57:33	P
11.1.-1498T15:7:57	T
7.7.-1498T23:24:30	T
31.12.-1498T17:38:1	T
27.6.-1497T11:30:20	P
10.11.-1496T7:21:16	P
6.5.-1495T3:9:16	P
30.10.-1495T21:11:11	T
25.4.-1494T10:6:2	T
20.10.-1494T5:0:46	T
14.4.-1493T23:51:16	P
5.3.-1492T9:6:31	P
22.2.-1491T22:2:45	T
17.8.-1491T23:25:38	T
12.2.-1490T3:49:47	P
7.8.-1490T14:44:36	T
17.6.-1488T9:11:54	P
11.12.-1488T1:49:55	T
6.6.-1487T12:28:6	T
30.11.-1487T17:11:44	T
26.5.-1486T13:11:30	P
4.4.-1484T23:58:43	T
29.9.-1484T0:24:4	P
25.3.-1483T17:0:38	T
18.9.-1483T1:12:25	T
7.9.-1482T8:54:39	P
29.7.-1481T14:44:44	P
22.1.-1480T22:44:56	T
18.7.-1480T6:55:31	T
11.1.-1479T1:44:18	T
7.7.-1479T18:31:17	P
21.11.-1478T16:14:29	P
17.5.-1477T9:38:22	P
11.11.-1477T5:49:58	T
5.5.-1476T17:6:9	T
30.10.-1476T13:13:3	T
25.4.-1475T7:15:31	P
6.3.-1473T5:35:26	T
29.8.-1473T7:25:31	T
23.2.-1472T11:4:22	T
17.8.-1472T22:46:58	T
7.8.-1471T15:8:6	P
28.6.-1470T15:59:33	P
22.12.-1470T10:34:13	T
17.6.-1469T18:48:43	T
12.12.-1469T2:4:27	T
5.6.-1468T19:36:46	P
16.4.-1466T7:30:32	P
10.10.-1466T8:9:24	P
6.4.-1465T0:36:24	T
29.9.-1465T9:7:3	T
25.3.-1464T14:44:12	P
17.9.-1464T17:6:4	P
2.2.-1462T6:12:40	T
29.7.-1462T14:32:50	T
22.1.-1461T9:43:29	T
19.7.-1461T1:35:19	T
2.12.-1460T1:7:16	P
27.5.-1459T16:8:46	P
21.11.-1459T14:30:0	T
17.5.-1458T0:6:8	T
10.11.-1458T21:27:54	T
6.5.-1457T14:37:31	P
16.3.-1455T12:59:13	T
8.9.-1455T15:34:12	P
5.3.-1454T18:10:22	T
29.8.-1454T6:57:22	T
18.8.-1453T23:3:28	P
1.1.-1451T19:11:48	T
28.6.-1451T1:14:49	T
22.12.-1451T10:52:47	T
17.6.-1450T2:5:46	P
26.4.-1448T14:56:35	P
20.10.-1448T16:2:59	P
16.4.-1447T8:5:43	T
9.10.-1447T17:10:8	T
5.4.-1446T21:59:59	P
29.9.-1446T1:26:11	P
13.2.-1444T13:32:47	T
8.8.-1444T22:16:31	T
1.2.-1443T17:35:40	T
29.7.-1443T8:46:13	T
22.1.-1442T4:45:20	P
13.12.-1442T9:57:8	P
7.6.-1441T22:42:36	P
2.12.-1441T23:7:29	T
27.5.-1440T7:7:44	T
21.11.-1440T5:42:31	T
16.5.-1439T21:59:12	P
27.3.-1437T20:11:40	P
19.9.-1437T23:53:0	P
16.3.-1436T1:4:18	T
8.9.-1436T15:16:52	T
29.8.-1435T7:6:57	P
13.1.-1433T3:45:44	T
9.7.-1433T7:44:17	T
2.1.-1432T19:36:18	T
27.6.-1432T8:40:12	T
7.5.-1430T22:22:18	P
1.11.-1430T0:0:34	P
27.4.-1429T15:29:33	T
21.10.-1429T1:20:42	T
16.4.-1428T5:7:17	P
9.10.-1428T9:54:17	P
23.2.-1426T20:43:51	P
20.8.-1426T6:6:48	T
13.2.-1425T1:20:22	T
